id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Moonlight Sonata,Ludwig v. B.,classical,melancholic,0.15,54,0.12,0.20,0.98
12,Street Anthem,Concrete Rhythm,hip hop,energetic,0.85,92,0.61,0.88,0.12
13,Iron Forge,Metal Core,metal,aggressive,0.98,175,0.25,0.30,0.01
14,Dusty Road,Gravel Voice,country,soulful,0.55,84,0.72,0.60,0.65
15,Ocean Breeze,Island Vibe,reggae,calm,0.48,76,0.88,0.82,0.45
16,Deep Delta,Blues Man,blues,gritty,0.42,88,0.54,0.58,0.72
17,Cyber Rush,Digital Velocity,edm,hype,0.94,130,0.85,0.78,0.02
18,Ancient Echoes,Tribal Quest,folk,mysterious,0.32,105,0.44,0.52,0.88
